표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7453860009","453860","에이에스텍","에이에스텍","ASTech Co., Ltd.","2023/11/28","KOSDAQ","주권","벤처기업부","보통주","500","5657215"
"KR7312610009","312610","에이에프더블류","에이에프더블류","A.F.W Co., Ltd","2019/07/01","KOSDAQ","주권","중견기업부","보통주","500","20256888"
"KR7015260003","015260","에이엔피보통주","에이엔피","AUTOMOBILE&PCB","1988/01/18","KOSPI","주권",,"보통주","500","45116894"
"KR7172670002","172670","에이엘티","에이엘티","ALT Co.,Ltd.","2023/07/27","KOSDAQ","주권","벤처기업부","보통주","500","8960259"
"KR7234070001","234070","에이원알폼","에이원알폼","A ONE ALFORM","2015/12/21","KONEX","주권","일반기업부","보통주","500","6938482"
"KR7140910001","140910","에이자기관리부동산투자회사보통주","에이리츠","A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.","2011/07/14","KOSPI","부동산투자회사",,"보통주","5000","4463032"
"KR7445090004","445090","에이직랜드","에이직랜드","ASICLAND Co.,Ltd","2023/11/13","KOSDAQ","주권","벤처기업부","보통주","500","10678404"
"KR7039570007","039570","에이치디씨랩스보통주","HDC랩스","HDCLABS","2015/09/24","KOSPI","주권",,"보통주","500","25957601"
"KR7089470009","089470","에이치디씨현대이피보통주","HDC현대EP","HDC Hyundai Engineering Plastics","2006/09/25","KOSPI","주권",,"보통주","500","31900000"
"KR7009540006","009540","에이치디한국조선해양보통주","HD한국조선해양","HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING","1999/08/24","KOSPI","주권",,"보통주","5000","70773116"
"KR7267270007","267270","에이치디현대건설기계보통주","HD현대건설기계","HD Hyundai Construction Equipment","2017/05/10","KOSPI","주권",,"보통주","5000","18847096"
"KR7443060009","443060","에이치디현대마린솔루션보통주","HD현대마린솔루션","HD HYUNDAI MARINE SOLUTION CO., LTD","2024/05/08","KOSPI","주권",,"보통주","500","44450000"
