etf코드,날짜,수익률,1년간 코스피 수익률,1년간 코스피 std
KR7228810008,20240329,-0.20407467022878623,0.10891603227096436,0.009728731730349233
KR7228820007,20240329,0.03771365752589784,0.10891603227096436,0.009728731730349233
KR7229200001,20240329,0.7937002529966273,0.10891603227096436,0.009728731730349233
KR7229720008,20240329,-0.14138059465042963,0.10891603227096436,0.009728731730349233
KR7232080002,20240329,-0.08704497348791784,0.10891603227096436,0.009728731730349233
KR7234310001,20240329,0.11481605770934022,0.10891603227096436,0.009728731730349233
KR7237350004,20240329,0.505593435404712,0.10891603227096436,0.009728731730349233
KR7244580007,20240329,1.980641353461678,0.10891603227096436,0.009728731730349233
KR7244620001,20240329,0.05401428357167193,0.10891603227096436,0.009728731730349233
KR7244660007,20240329,0.05459864738673703,0.10891603227096436,0.009728731730349233
