단축코드,시가총액,날짜,표준코드
332610,23223100000,20200331,KR7332610005
332620,24410400000,20200331,KR7332620004
195970,4428000000,20200331,KR7195970009
238670,5664000000,20200331,KR7238670004
195980,36188000000,20200331,KR7195980008
256450,3728300000,20200331,KR7256450008
239660,10738000000,20200331,KR7239660004
280920,7062000000,20200331,KR7280920000
266550,7503750000,20200331,KR7266550003
301400,4155750000,20200331,KR7301400008
301410,6332500000,20200331,KR7301410007
227830,49995000000,20200331,KR7227830007
122090,166309500000,20200331,KR7122090004
328370,72478000000,20200331,KR7328370002
285690,12160000000,20200331,KR7285690004
292730,16747500000,20200331,KR7292730009
293180,875056000000,20200331,KR7293180006
332930,175196500000,20200331,KR7332930007
304780,20856000000,20200331,KR7304780000
306520,10272000000,20200331,KR7306520008
346000,8517850000,20200331,KR7346000003
304760,17050000000,20200331,KR7304760002
332940,129465000000,20200331,KR7332940006
322400,7000000000,20200331,KR7322400003
322410,16092000000,20200331,KR7322410002
314700,4155000000,20200331,KR7314700006
304770,29682300000,20200331,KR7304770001
306530,5370400000,20200331,KR7306530007
148020,1332551250000,20200331,KR7148020001
285000,63612000000,20200331,KR7285000006
287300,2822600000,20200331,KR7287300008
287310,3174600000,20200331,KR7287310007
290080,4623500000,20200331,KR7290080001
284980,2465400000,20200331,KR7284980000
287320,3216200000,20200331,KR7287320006
287330,5896000000,20200331,KR7287330005
252400,29304000000,20200331,KR7252400007
252410,5802000000,20200331,KR7252410006
252420,34851500000,20200331,KR7252420005
284990,2211600000,20200331,KR7284990009
285010,2232300000,20200331,KR7285010005
285020,2598400000,20200331,KR7285020004
315480,5045000000,20200331,KR7315480004
105780,7929000000,20200331,KR7105780001
290130,5760000000,20200331,KR7290130004
326240,7974000000,20200331,KR7326240009
270800,54631500000,20200331,KR7270800006
292050,51119250000,20200331,KR7292050002
319870,6562500000,20200331,KR7319870002
234310,6216000000,20200331,KR7234310001
241390,5814000000,20200331,KR7241390004
300640,3420000000,20200331,KR7300640000
266160,11230250000,20200331,KR7266160001
114100,37344450000,20200331,KR7114100001
282000,42285520000,20200331,KR7282000009
295000,64983930000,20200331,KR7295000004
295020,5086950000,20200331,KR7295020002
276650,14838000000,20200331,KR7276650009
336160,63885150000,20200331,KR7336160007
326230,6321000000,20200331,KR7326230000
272560,66818320000,20200331,KR7272560004
196230,155153995000,20200331,KR7196230007
315960,255612000000,20200331,KR7315960005
252730,12717000000,20200331,KR7252730007
252720,6884000000,20200331,KR7252720008
219390,5261250000,20200331,KR7219390002
267440,7596000000,20200331,KR7267440006
267490,8497500000,20200331,KR7267490001
267450,4566000000,20200331,KR7267450005
267500,3058000000,20200331,KR7267500007
140570,3912000000,20200331,KR7140570003
140580,4392000000,20200331,KR7140580002
183710,7465000000,20200331,KR7183710003
310080,5392750000,20200331,KR7310080007
174360,29450000000,20200331,KR7174360008
136340,62769000000,20200331,KR7136340007
281990,12860250000,20200331,KR7281990002
272570,30969630000,20200331,KR7272570003
250730,8532000000,20200331,KR7250730009
291680,6490000000,20200331,KR7291680007
183700,12918000000,20200331,KR7183700004
270810,158496800000,20200331,KR7270810005
278240,114715800000,20200331,KR7278240007
275750,3773250000,20200331,KR7275750008
302450,223375000000,20200331,KR7302450002
334690,8612500000,20200331,KR7334690005
334700,3095000000,20200331,KR7334700002
253280,9048250000,20200331,KR7253280002
253290,8596000000,20200331,KR7253290001
105190,544096000000,20200331,KR7105190003
332500,91975000000,20200331,KR7332500008
277540,13972500000,20200331,KR7277540001
225130,14107500000,20200331,KR7225130004
299070,4639250000,20200331,KR7299070003
299080,4975500000,20200331,KR7299080002
190620,275342600000,20200331,KR7190620005
265690,6309000000,20200331,KR7265690008
152500,18865000000,20200331,KR7152500005
291130,4992000000,20200331,KR7291130003
280320,8976000000,20200331,KR7280320003
309230,11924000000,20200331,KR7309230001
181480,6558500000,20200331,KR7181480005
143460,8984000000,20200331,KR7143460004
245710,145350000000,20200331,KR7245710009
131890,6552000000,20200331,KR7131890006
108450,24259500000,20200331,KR7108450008
322130,8264000000,20200331,KR7322130006
272220,7301000000,20200331,KR7272220005
272230,6223000000,20200331,KR7272230004
322120,4492000000,20200331,KR7322120007
322150,6556000000,20200331,KR7322150004
316300,9695000000,20200331,KR7316300003
256440,8385000000,20200331,KR7256440009
145670,5481000000,20200331,KR7145670006
238720,7437000000,20200331,KR7238720007
196030,5572500000,20200331,KR7196030001
205720,22236000000,20200331,KR7205720006
168580,185173000000,20200331,KR7168580009
219900,17777000000,20200331,KR7219900008
114460,19296900000,20200331,KR7114460009
272910,35236390000,20200331,KR7272910001
305050,24408000000,20200331,KR7305050007
261920,4360000000,20200331,KR7261920003
226380,3872000000,20200331,KR7226380004
69500,5880352750000,20200331,KR7069500007
226980,13050000000,20200331,KR7226980001
337160,6604000000,20200331,KR7337160006
278530,1016478000000,20200331,KR7278530001
337150,40550000000,20200331,KR7337150007
223190,30107000000,20200331,KR7223190000
252650,5484000000,20200331,KR7252650007
284430,11434800000,20200331,KR7284430006
252670,1195702000000,20200331,KR7252670005
305720,54567000000,20200331,KR7305720005
271060,5677500000,20200331,KR7271060006
99140,31984000000,20200331,KR7099140006
204450,30402000000,20200331,KR7204450001
337120,14949000000,20200331,KR7337120000
325010,79534000000,20200331,KR7325010007
266370,40512500000,20200331,KR7266370006
292190,86163000000,20200331,KR7292190006
306950,7645000000,20200331,KR7306950007
229720,14562000000,20200331,KR7229720008
291890,2999250000,20200331,KR7291890002
289040,18112500000,20200331,KR7289040008
156080,56252000000,20200331,KR7156080004
278540,1238490000000,20200331,KR7278540000
275280,4500000000,20200331,KR7275280006
275290,8085000000,20200331,KR7275290005
275300,8850000000,20200331,KR7275300002
269420,8976765000,20200331,KR7269420006
329650,20748000000,20200331,KR7329650006
329660,9705000000,20200331,KR7329660005
329670,9515000000,20200331,KR7329670004
315930,610292000000,20200331,KR7315930008
261220,263527875000,20200331,KR7261220008
271050,7320500000,20200331,KR7271050007
117700,12868500000,20200331,KR7117700005
300950,7780500000,20200331,KR7300950003
266390,4458000000,20200331,KR7266390004
279530,45525000000,20200331,KR7279530000
132030,143158000000,20200331,KR7132030008
280940,4005000000,20200331,KR7280940008
138910,4215000000,20200331,KR7138910005
114260,82864800000,20200331,KR7114260003
152380,19280700000,20200331,KR7152380002
176950,15390480000,20200331,KR7176950004
292770,5085720000,20200331,KR7292770005
276990,13378500000,20200331,KR7276990009
102960,5041400000,20200331,KR7102960002
273140,116227965000,20200331,KR7273140004
153130,1501262010000,20200331,KR7153130000
214980,768565875000,20200331,KR7214980005
122630,3674608000000,20200331,KR7122630007
321410,4400000000,20200331,KR7321410003
244620,8789000000,20200331,KR7244620001
314250,11575750000,20200331,KR7314250002
219480,67770000000,20200331,KR7219480001
276970,30504000000,20200331,KR7276970001
185680,10728725000,20200331,KR7185680006
200030,6867240000,20200331,KR7200030005
218420,3441990000,20200331,KR7218420008
304940,19152000000,20200331,KR7304940000
261240,57324900000,20200331,KR7261240006
261250,62692400000,20200331,KR7261250005
261270,9821050000,20200331,KR7261270003
261260,17350000000,20200331,KR7261260004
280930,7969500000,20200331,KR7280930009
308620,8809500000,20200331,KR7308620004
304660,14020000000,20200331,KR7304660004
304670,4083000000,20200331,KR7304670003
266360,51457500000,20200331,KR7266360007
244580,18709600000,20200331,KR7244580007
91160,38563250000,20200331,KR7091160002
325020,115056000000,20200331,KR7325020006
211900,20160000000,20200331,KR7211900006
237370,17802000000,20200331,KR7237370002
244670,3087000000,20200331,KR7244670006
140700,7463000000,20200331,KR7140700006
102780,1231140000000,20200331,KR7102780004
213610,22420000000,20200331,KR7213610009
251350,318112500000,20200331,KR7251350005
256750,14135500000,20200331,KR7256750001
117460,5967500000,20200331,KR7117460006
140710,2072000000,20200331,KR7140710005
144600,78740000000,20200331,KR7144600004
91170,50000000000,20200331,KR7091170001
114800,678000000000,20200331,KR7114800006
101280,7419000000,20200331,KR7101280006
91180,14507250000,20200331,KR7091180000
273130,1159597800000,20200331,KR7273130005
169950,56542000000,20200331,KR7169950003
283580,44827000000,20200331,KR7283580009
102970,45292500000,20200331,KR7102970001
117680,7291900000,20200331,KR7117680009
279540,11910000000,20200331,KR7279540009
229200,477249000000,20200331,KR7229200001
233740,1651664500000,20200331,KR7233740000
251340,204032000000,20200331,KR7251340006
226490,383826000000,20200331,KR7226490001
237350,16052250000,20200331,KR7237350004
337140,34768000000,20200331,KR7337140008
138920,6132000000,20200331,KR7138920004
244660,5552000000,20200331,KR7244660007
266410,26262000000,20200331,KR7266410000
298770,5265000000,20200331,KR7298770009
266420,9779000000,20200331,KR7266420009
69660,495827500000,20200331,KR7069660009
294400,333355000000,20200331,KR7294400007
253250,16453500000,20200331,KR7253250005
253240,7538700000,20200331,KR7253240006
253230,10800400000,20200331,KR7253230007
331910,14586000000,20200331,KR7331910000
100910,7083000000,20200331,KR7100910009
104530,7870500000,20200331,KR7104530001
148070,183367800000,20200331,KR7148070006
167860,12449700000,20200331,KR7167860006
114470,33798000000,20200331,KR7114470008
130730,40414710000,20200331,KR7130730005
138230,26925600000,20200331,KR7138230008
225800,22877100000,20200331,KR7225800002
139660,8449000000,20200331,KR7139660005
230480,19596250000,20200331,KR7230480006
104520,8582000000,20200331,KR7104520002
200250,11063000000,20200331,KR7200250009
316670,28366800000,20200331,KR7316670009
291630,6775000000,20200331,KR7291630002
291620,7190000000,20200331,KR7291620003
153270,22566000000,20200331,KR7153270004
122260,49774200000,20200331,KR7122260003
295040,346985250000,20200331,KR7295040000
292500,53664000000,20200331,KR7292500006
220130,6939000000,20200331,KR7220130009
102110,3023624000000,20200331,KR7102110004
139260,346984000000,20200331,KR7139260004
139220,5408000000,20200331,KR7139220008
139290,4340600000,20200331,KR7139290001
139270,18355100000,20200331,KR7139270003
227550,3024000000,20200331,KR7227550001
227560,3383900000,20200331,KR7227560000
139250,13315200000,20200331,KR7139250005
139230,9907200000,20200331,KR7139230007
139240,3217500000,20200331,KR7139240006
227540,13324600000,20200331,KR7227540002
243880,29528000000,20200331,KR7243880002
310960,39328000000,20200331,KR7310960000
252000,3786750000,20200331,KR7252000005
267770,111860000000,20200331,KR7267770006
252710,84813000000,20200331,KR7252710009
243890,5845500000,20200331,KR7243890001
315270,9480100000,20200331,KR7315270009
166400,5342500000,20200331,KR7166400002
289480,10014000000,20200331,KR7289480006
305540,60050000000,20200331,KR7305540007
292160,38867500000,20200331,KR7292160009
228820,7493750000,20200331,KR7228820007
300610,3729000000,20200331,KR7300610003
138530,3855600000,20200331,KR7138530001
289260,4681650000,20200331,KR7289260002
289250,5411250000,20200331,KR7289250003
310970,714668000000,20200331,KR7310970009
269370,4265000000,20200331,KR7269370003
248270,13270000000,20200331,KR7248270001
292150,1215059500000,20200331,KR7292150000
139280,132957000000,20200331,KR7139280002
237440,10998000000,20200331,KR7237440003
319640,7389000000,20200331,KR7319640009
160580,6829375000,20200331,KR7160580007
114820,43317300000,20200331,KR7114820004
275980,135576000000,20200331,KR7275980001
276000,7860000000,20200331,KR7276000007
139310,2358000000,20200331,KR7139310007
139320,5262000000,20200331,KR7139320006
137610,32414000000,20200331,KR7137610002
182490,14616000000,20200331,KR7182490003
272580,252782310000,20200331,KR7272580002
157450,1624006065000,20200331,KR7157450008
105010,2990000000,20200331,KR7105010003
123320,44334000000,20200331,KR7123320004
174350,21310600000,20200331,KR7174350009
147970,17052000000,20200331,KR7147970008
182480,51325000000,20200331,KR7182480004
225040,72587000000,20200331,KR7225040005
143850,116853750000,20200331,KR7143850006
225030,9896250000,20200331,KR7225030006
133690,167134500000,20200331,KR7133690008
203780,9240000000,20200331,KR7203780002
245340,23239000000,20200331,KR7245340005
329750,18478800000,20200331,KR7329750004
261110,8656000000,20200331,KR7261110001
261120,19107000000,20200331,KR7261120000
305080,60653500000,20200331,KR7305080004
228810,4174200000,20200331,KR7228810008
91230,30758400000,20200331,KR7091230003
98560,4194300000,20200331,KR7098560006
211560,11998800000,20200331,KR7211560008
329200,72590000000,20200331,KR7329200000
138520,7430000000,20200331,KR7138520002
157490,39543400000,20200331,KR7157490004
228800,3462900000,20200331,KR7228800009
227570,19642350000,20200331,KR7227570009
261140,11440800000,20200331,KR7261140008
130680,157648750000,20200331,KR7130680002
217770,8482500000,20200331,KR7217770007
195930,63512000000,20200331,KR7195930003
225050,7696000000,20200331,KR7225050004
245350,6202000000,20200331,KR7245350004
91220,4886400000,20200331,KR7091220004
307510,7095000000,20200331,KR7307510008
225060,4452000000,20200331,KR7225060003
236350,6709500000,20200331,KR7236350005
123310,45155000000,20200331,KR7123310005
195920,25971000000,20200331,KR7195920004
241180,8820000000,20200331,KR7241180009
292560,8880000000,20200331,KR7292560000
150460,143892750000,20200331,KR7150460004
302190,47830500000,20200331,KR7302190004
157500,3957600000,20200331,KR7157500000
307520,5547750000,20200331,KR7307520007
192090,171804000000,20200331,KR7192090009
204480,194120000000,20200331,KR7204480008
217780,42864000000,20200331,KR7217780006
245360,68400000000,20200331,KR7245360003
117690,6986250000,20200331,KR7117690008
232080,305226000000,20200331,KR7232080002
233160,101884250000,20200331,KR7233160001
261060,10821600000,20200331,KR7261060008
261070,7078100000,20200331,KR7261070007
250780,12547250000,20200331,KR7250780004
277630,105007500000,20200331,KR7277630000
210780,15664800000,20200331,KR7210780003
277640,21854000000,20200331,KR7277640009
277650,8274500000,20200331,KR7277650008
143860,147908400000,20200331,KR7143860005
138540,3825000000,20200331,KR7138540000
228790,9790200000,20200331,KR7228790002
108590,17059000000,20200331,KR7108590001
145850,5767500000,20200331,KR7145850004
159800,7404000000,20200331,KR7159800002
152870,46626000000,20200331,KR7152870002
192720,6324450000,20200331,KR7192720001
140950,9776000000,20200331,KR7140950007
215620,6106800000,20200331,KR7215620006
